ABN MMS ID,Network Id,ABN035,Aleph ID,Network Number
990008641720108281,991143395879705501,(ABN)000864172ABN01,000864172-ABN01,(CH-ZuSLS)991143395879705501; (RERO)R009043614-41slsp; 126496803; (swissbib)126496803-41slsp_network
990000198310108281,991015552729705501,(ABN)000019831ABN01,000019831-ABN01,(CH-ZuSLS)991015552729705501; (IDSLU)000117603ILU01; (NEBIS)001043071EBI01; (IDSBB)000533875DSV01; (RERO)0954833-41slsp; (RERO)R006494978-41slsp; 228561957; (swissbib)228561957-41slsp_network
990001340730108281,991146988769705501,(ABN)000134073ABN01,000134073-ABN01,(CH-ZuSLS)991146988769705501; (OCoLC)64112383; (IDSSG)000352597HSB01; (IDSLU)000015178ILU01; (NEBIS)000338775EBI01; (IDSBB)000096181DSV01; (NEBIS)003567807EBI01; 239653262; (swissbib)239653262-41slsp_network
990003622310108281,991150969569705501,(ABN)000362231ABN01,000362231-ABN01,(CH-ZuSLS)991150969569705501; (IDSBB)002883194DSV01; (RERO)R003246669-41slsp; 232912718; (swissbib)232912718-41slsp_network
990003082210108281,991050455599705501,(ABN)000308221ABN01,000308221-ABN01,(CH-ZuSLS)991050455599705501; (NEBIS)005300351EBI01; (IDSSG)000440366HSB01; (IDSBB)004055975DSV01; 21690272X; (swissbib)21690272X-41slsp_network
990008537170108281,991044249859705501,(ABN)000853717ABN01,000853717-ABN01,(CH-ZuSLS)991044249859705501; (OCoLC)1101263540; (DE-599)DNB1185904808; (IDSBB)007131950DSV01; (NEBIS)011491221EBI01; 233412972; (swissbib)233412972-41slsp_network
990004259980108281,991130121869705501,(ABN)000425998ABN01,000425998-ABN01,(CH-ZuSLS)991130121869705501; (IDSBB)003284130DSV01; 045889740; (swissbib)045889740-41slsp_network
990004195080108281,991170889036505501,(ABN)000419508ABN01,000419508-ABN01,(CH-ZuSLS)991170889036505501; (ALEX)991294814101791; (ALEX)bv00510396
990003685970108281,991139692839705501,(ABN)000368597ABN01,000368597-ABN01,(CH-ZuSLS)991139692839705501; (IDSBB)002929201DSV01; (NEBIS)005878221EBI01; 219660468; (swissbib)219660468-41slsp_network
990008120390108281,991108318339705501,(ABN)000812039ABN01,000812039-ABN01,(CH-ZuSLS)991108318339705501; (OCoLC)990781376; (DE-599)DNB1135223459; (IDSSG)000953450HSB01; (IDSLU)001289554ILU01; (IDSBB)006710066DSV01; (NEBIS)010918086EBI01; 225897636; (swissbib)225897636-41slsp_network
990000959010108281,991081220709705501,(ABN)000095901ABN01,000095901-ABN01,(CH-ZuSLS)991081220709705501; (IDSBB)006888066DSV01; 073362514; (swissbib)073362514-41slsp_network
990008766410108281,991170646554305501,(ABN)000876641ABN01,000876641-ABN01,(CH-ZuSLS)991170646554305501; (DE-101)1222294303
990008512850108281,991072882929705501,(ABN)000851285ABN01,000851285-ABN01,(CH-ZuSLS)991072882929705501; (OCoLC)1077717340; (RERO)R008987933-41slsp; (IDSBB)007054214DSV01; 227243277; (swissbib)227243277-41slsp_network
990005297130108281,991047734949705501,(ABN)000529713ABN01,000529713-ABN01,(CH-ZuSLS)991047734949705501; (IDSSG)000807769HSB01; (IDSLU)000700211ILU01; (IDSBB)005397105DSV01; (NEBIS)005638981EBI01; 236854127; (swissbib)236854127-41slsp_network
990002883790108281,991049607129705501,(ABN)000288379ABN01,000288379-ABN01,(CH-ZuSLS)991049607129705501; (IDSLU)000500347ILU01; (IDSBB)003912537DSV01; (RERO)R004529610-41slsp; (NEBIS)005298928EBI01; 238343812; (swissbib)238343812-41slsp_network
